p1;p2;nb_pattern;classe
-0.382433;-0.382433;0.24;0
-0.464121;-0.464121;0.26;0
-0.157545;-1.00392;0.44;0
-0.874338;-0.874338;0.27;0
-0.58666;-0.58666;0.29;0
-0.696073;-0.696073;0.42;0
-0.883361;-0.883361;0.38;0
-0.596812;-0.596812;0.33;0
-0.710611;-0.710611;0.08;0
-0.552036;-0.552036;0.49;0
-0.350628;-0.350628;0.11;0
-0.640968;-0.640968;0.22;0
-0.739211;-0.739211;0.56;0
-0.726504;-0.726504;0.33;0
-0.421634;-0.421634;0.28;0
-0.687725;-0.687725;0.44;0
-0.784448;-0.784448;0.14;0
-0.572758;-0.572758;0.72;0
-0.182305;-1.19899;0.48;0
-0.0772961;-0.839653;1.18;0
-0.695212;-0.695212;0.08;0
-0.578238;-0.578238;1.29;0
-0.0249055;-0.795436;3.41;0
-0.672398;-0.672398;0.81;0
-0.378643;-0.968372;5.19;0
-0.65659;-0.65659;0.14;0
-0.321872;-0.321872;0.2;0
-0.240885;-0.953205;0.86;0
-0.271223;-0.862886;7.62;0
-0.812343;-0.812343;0.19;0
-0.556888;-0.556888;0.56;0
-0.748325;-0.748325;0.88;0
-0.737077;-0.737077;0.51;0
-0.775512;-0.775512;1.37;0
-0.589521;-0.840144;2.17;0
-0.419549;-0.419549;0.2;0
-0.753625;-0.753625;0.21;0
-0.50997;-0.50997;0.11;0
-0.728985;-0.728985;0.69;0
-0.623524;-0.623524;0.63;0
-0.887724;-0.887724;0.08;0
-0.192734;-1.26672;0.75;0
-0.811741;-0.811741;1.7;0
-0.537823;-0.537823;0.36;0
-0.380554;-1.23258;0.89;0
-0.596644;-0.596644;0.21;0
-0.484921;-0.484921;0.49;0
-0.330655;-0.330655;0.33;0
-0.514581;-0.514581;0.42;1
-0.809495;-0.809495;0.94;1
-0.214928;-0.940807;2.37;1
-0.783182;-0.783182;1.11;1
-0.634177;-0.634177;0.48;1
-0.0758436;-1.13744;0.6;1
-0.186538;-0.843318;0.87;1
-0.469656;-0.469656;0.29;1
-0.653863;-0.653863;0.52;1
-0.819733;-0.675927;0.91;1
-0.409343;-1.08379;2.24;1
-0.0730927;-0.883714;1.17;1
-0.760372;-0.760372;0.29;1
-0.289906;-1.21175;0.33;1
-0.334773;-1.35218;0.45;1
-0.44402;-0.44402;0.43;1
-0.69583;-0.69583;0.37;1
-0.222002;-1.00702;1.41;1
-0.56359;-0.56359;0.37;1
-0.946903;-0.946903;0.57;1
-0.566631;-0.566631;0.79;1
-0.0286826;-1.16659;0.51;1
-0.714653;-0.714653;0.16;1
-0.501932;-0.501932;0.15;1
-0.463264;-1.23766;0.66;1
-0.431173;-0.431173;0.11;1
-0.749791;-0.749791;1.17;1
-0.620553;-0.620553;0.33;1
-0.907839;-0.907839;0.53;1
-0.0946372;-0.929416;0.66;1
-0.764024;-0.764024;0.44;1
-1.848;-0.847777;0.76;1
-0.747629;-0.747629;0.84;1
-0.65788;-0.65788;0.27;1
-0.510764;-0.810259;0.8;1
-0.363679;-0.363679;0.24;1
-0.792229;-0.792229;0.38;1
-0.502713;-0.502713;0.31;1
-0.760449;-0.760449;0.22;1
-0.548903;-0.548903;0.31;1
-0.229085;-1.03638;0.35;1
-0.470289;-0.470289;0.19;1
0;-0.949183;0.37;1
-0.801267;-0.801267;0.58;1
-0.831323;-0.831323;0.55;1
-0.612363;-0.612363;0.33;1
-0.665272;-0.665272;0.54;1
-0.590847;-0.590847;0.26;1
-0.52863;-0.52863;0.37;1
-0.887125;-0.887125;0.7;1
-0.606362;-0.606362;0.25;1
-0.49464;-0.49464;0.36;1
-0.9647;-0.9647;0.92;1
-1.0451;-1.0451;0.22;1
-0.492966;-0.492966;0.44;1
-0.138995;-1.18503;0.54;1
-0.729717;-0.729717;0.3;1
-0.553617;-0.553617;0.18;1
-0.396352;-0.396352;0.19;1
-1.54727;-1.54727;0.06;1
-0.507404;-0.507404;0.27;1
-0.459528;-0.459528;0.36;1
0;-0.847214;0.47;1
0;0;0.03;1
-0.39184;-0.963918;0.73;1
-0.484104;-0.484104;0.44;1
-0.796475;-0.796475;0.63;1
0;0;0.03;1
-0.804213;-0.804213;0.35;1
-0.963243;-0.963243;0.36;1
-0.484005;-0.484005;0.41;1
-0.607861;-0.607861;0.42;1
-0.966325;-0.966325;0.07;1
-0.10048;-0.877812;1.01;1
-0.648432;-0.648432;0.6;1
-0.654327;-0.654327;1.1;1
-0.472126;-0.472126;0.13;1
-1.01265;-1.01265;1;1
-0.844562;-0.844562;0.52;1
-0.754092;-0.754092;0.32;1
-0.0972445;-1.14547;1.16;1
-0.575801;-0.575801;0.34;1
-0.511818;-0.511818;0.26;1
-0.662543;-0.662543;0.12;1
-0.641963;-0.641963;0.3;1
-0.183864;-1.05198;0.58;1
-0.645043;-0.645043;0.48;1
-0.29755;-0.880165;1.34;1
-0.289522;-1.25728;0.44;1
-0.0421108;-0.88621;1.02;1
-0.379015;-0.914424;0.72;1
-0.571283;-0.571283;0.62;1
-0.409856;-0.489344;0.54;1
-0.267481;-0.77503;2.71;1
-0.460627;-0.460627;0.63;1
-0.650256;-0.650256;0.57;1
-0.122024;-0.9469;1.22;1
-0.123844;-0.814217;0.46;1
-0.126822;-1.5671;0.51;1
-0.0150054;-0.994464;0.51;1
-0.0922679;-1.11051;0.6;1
-0.101081;-1.57052;0.32;1
